,title,subscriber,views,likes,summary_caption,date
245,Top News Of The Day: Snow-Capped Finale To Rahul Gandhi's Bharat Jodo Yatra,12.3M subscribers,Chapters,99,"['View all', 'Top headlines', '0:00', 'Bharat Jodo Yatra at Srinagar Sher-e-Kashmir stadium', '2:33', 'Adani Hindenburg rebuttals', '8:45', 'Scheduled Castes enter TN temple after decades', '11:40', 'Odisha Health Minister Naba Das shot dead', '14:40', 'Nitish Kumar on old ally BJP', '17:43', 'Show less']",[]
246,"In Historic Move, Over 200 Dalits Defy 'Ban' To Enter Tamil Nadu Temple",12.3M subscribers,"6,678 ",65,"[""In a historic move, over 200 people from a community of Scheduled Castes in Tamil Nadu, who were denied entry into a temple for around eight decades, were today taken into the temple for worship by the police and district administration in the Tiruvannamalai district. NDTV's Sam Daniel spoke to the Collector, SP and the range DIG."", '', 'Watch Reporter Vlogs: https://www.youtube.com/playlist?list...', '', '', 'About NDTV (English news channel): ', ' ', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", ' ', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', ' ', 'Follow us on Social Media: ', 'Facebook: https://www.facebook.com/ndtv/', 'Twitter: https://twitter.com/ndtv/   ', 'Instagram: https://www.instagram.com/ndtv/ ', 'Telegram Messenger: https://t.me/NDTVbot/?start=hi ', ' ', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY ', ' ', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps ', ' ', '#TamilNaduTemple #Tiruvannamalai #Temple #BreakingNews #LatestNews #TodayNews #News #IndiaNews #TheNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
247,Will Bharat Jodo Yatra End Congress's Political Winter? | Breaking Views,12.3M subscribers,"6,083 ",26,"[""Rahul Gandhi's Bharat Jodo Yatra ended today. We analyse the positives, Negatives & Challenges of this Yatra. Ahead of State polls and with 2024 Elections, could this Yatra end Congress's political winter?"", '', 'Watch Breaking Views: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#BharatJodoYatra #Congress #RahulGandhi #BreakingNews #LatestNews #TodayNews #News #IndiaNews #BreakingViews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
248,"In Historic Move, Over 200 Dalits Defy 'Ban' To Enter Tamil Nadu Temple",12.3M subscribers,"2,066 ",44,"['In a historic move, over 200 people from a community of Scheduled Castes in Tamil Nadu, who were denied entry into a temple for around eight decades, were today taken into the temple for worship by the police and district administration in the Tiruvannamalai district.', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#TamilNaduTemple #Tiruvannamalai #Temple #BreakingNews #LatestNews #TodayNews #News #IndiaNews #TheNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
249,"""When Rahul Gandhi Started The Yatra, Focus Was On Him"": Psephologist Sanjay Kumar",12.3M subscribers,"1,240 ",11,"['""When Rahul Gandhi started the yatra, there was a lot of focus on Rahul Gandhi. There were speculations that Rahul Gandhi won\'t be able to complete this yatra. Now finally he has managed to complete the yatra successfully."" says Sanjay Kumar, Psephologist and Professor CSDS.', '', 'Watch Breaking Views: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '', '#RahulGandhi #BharatJodoYatra #Congress #BreakingNews #LatestNews #TodayNews #News #IndiaNews #BreakingViews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
250,"""He (Rahul Gandhi) Has Rebranded His Image"": Journalist Neerja Chowdhury | Breaking Views",12.3M subscribers,856 ,5,"['""Rahul Gandhi has rebranded his image. He is sincere. He did get a response everywhere. People were happy about a politician walking with them. Until they come in power, they can\'t deliver their promises"" says Neerja Chowdhury, Senior Journalist.', '', 'Watch Breaking Views: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#RahulGandhi #BharatJodoYatra #Congress #BreakingNews #LatestNews #TodayNews #News #IndiaNews #BreakingViews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
251,"""Not Everything In This World Should Be Reduced To Politics"": Yogendra Yadav | Breaking Views",12.3M subscribers,"1,837 ",18,"['""Not everything in this world should be reduced to politics. Yatra has always been a journey of body, mind, and soul. This is what the Bharat Jodo Yatra was about"" says Yogendra Yadav, Member and Former President, Swaraj India.', '', 'Watch Breaking Views: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#RahulGandhi #BharatJodoYatra #Congress #BreakingNews #LatestNews #TodayNews #News #IndiaNews #BreakingViews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
252,Suicide Blast At Peshawar Mosque: Terror And Economic Mess Bleed Pakistan | Left Right & Centre,12.3M subscribers,"7,102 ",43,"[""A Taliban suicide bomber detonated a device he was wearing in a mosque in a high-security zone in Pakistan's Peshawar city, killing at least 46 people, and injuring over 100. The blast occurred inside the mosque in the Police Lines area around 1.40 pm when worshippers, which included personnel of the police, army and bomb disposal squad - were offering the Zuhr (afternoon) prayers. The bomber who was present in the front row blew himself up. "", '', 'Watch Left, Right and Centre: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#PakistanBlast #PakistanNews #BlastInsideMosque #PakistanMosqueBlast #BreakingNews #LatestNews #TodayNews #News #IndiaNews #LeftRightAndCentre #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
253,Why Trans Fat Is Harmful?,12.3M subscribers,476 ,4,"[""WHO is urging action by Governments and the food industry to remove industrial trans fat from our food chain. Which foods contain trans fat? How do they harm us? WHO's Dr Francesco Branca explains in Science in 5. [Video Credit: World Health Organisation]"", '', 'About NDTV (English news channel): ', ' ', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", ' ', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', ' ', 'Follow us on Social Media: ', 'Facebook: https://www.facebook.com/ndtv/', 'Twitter: https://twitter.com/ndtv/   ', 'Instagram: https://www.instagram.com/ndtv/ ', 'Telegram Messenger: https://t.me/NDTVbot/?start=hi ', ' ', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY ', ' ', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps ', ' ', '#COVID #Coronavirus #LatestNews #TodayNews #News #IndiaNews  #BreakingNews #LatestNews #TodayNews #News #IndiaNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
254,"Odisha Minister, Shot In Chest By Cop, Cremated With State Honours",12.3M subscribers,Show less,13,[],[]
255,Des Ki Baat | Rahul Gandhi's Pan-India Yatra Concludes In Srinagar,12.3M subscribers,"3,568 ",48,"['Des Ki Baat - January 30, 2023: The Bharat Jodo Yatra ended on Monday with a grand finale of a rally to which 21 political parties were invited to join. The Rahul Gandhi-led foot rally, which began on September 7, 2022, completed its 3,500 km journey today in 145 days. (Audio in Hindi)', '', 'Check previous episode of Des Ki Baat: https://youtu.be/yV_SV0RDIrw', '', 'About NDTV (English news channel): ', ' ', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", ' ', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', ' ', 'Follow us on Social Media: ', 'Facebook: https://www.facebook.com/ndtv/', 'Twitter: https://twitter.com/ndtv/   ', 'Instagram: https://www.instagram.com/ndtv/ ', 'Telegram Messenger: https://t.me/NDTVbot/?start=hi ', ' ', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY ', ' ', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps ', ' ']","['  Jan 30, 2023']"
256,Ram Temple Construction And The Tight Deadlines,12.3M subscribers,"6,608 ",97,"['How is the Ram Temple in Ayodhya shaping up? NDTV takes you inside the Ayodhya temple to show you pictures and visuals of the work in motion. How will the temple be like? How will you offer prayers? How will the sanctum sanctorum look like? Watch this special programme.', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Jan 30, 2023']"
257,"""India Shining At Night"": Power Minister On Electricity For All",12.3M subscribers,749 ,4,"['India is shining bright after sunset as night time lights, or NLT, has increased by 43 per cent, according to data by the Indian Space Research Organisation, which analysed luminosity across the country at night. ""India is shining indeed as most of villages are illuminated. Data shows an increase of 43 per cent, which means more places are connected with electricity compared to 2012,"" Power Minister RK Singh told NDTV. Mr Singh said power supply to villages has increased by almost 50 per cent. ""Some backward areas are getting four times more electricity than what they were getting,"" he said, adding Bihar is getting four times more electricity than what it got 10 years ago.', '', 'Watch ""Team Pathaan On How They Made A Blockbuster. Pasta, Pizza Were Involved"":  https://youtu.be/7hr4ZRU7wz8', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#breakingnews  #LatestNews #TodayNews #News #IndiaNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
258,"""Deepika Is Amar, I'm Akbar, John Is Anthony"": SRK's Message On Unity",12.3M subscribers,"45,981 ",1.1K,"['""Amar Akbar Anthony - this is what makes cinema, there are no differences,"" said Shah Rukh Khan using a Bollywood reference that\'s sure to resonate with everyone. SRK, Deepika Padukone and John Abraham were speaking at a media interaction for Pathaan.', '', 'Watch ""Team Pathaan On How They Made A Blockbuster. Pasta, Pizza Were Involved"":  https://youtu.be/7hr4ZRU7wz8', '', 'About NDTV (English news channel): ', ' ', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", ' ', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', ' ', 'Follow us on Social Media: ', 'Facebook: https://www.facebook.com/ndtv/', 'Twitter: https://twitter.com/ndtv/   ', 'Instagram: https://www.instagram.com/ndtv/ ', 'Telegram Messenger: https://t.me/NDTVbot/?start=hi ', ' ', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY ', ' ', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps ', ' ', '#ShahRukhKhan #PathaanMovie #PathaanFilm #SRKFilm #DeepikaPadukone #Bollywood #BreakingNews #LatestNews #TodayNews #News #IndiaNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
259,"""Thank You For Bringing Life Back To Cinema"": SRK On Pathaan's Success",12.3M subscribers,"2,217 ",33,"['Shah Rukh Khan was in absolute top form in a live session on Monday in which Team Pathaan addressed the media on the massive success of their film. ""The film was shot during Covid. Everybody has shown so much kindness to the film. We are extremely grateful to the audience. We thank you (audience) on behalf of our team for bringing life back to the big screen,"" SRK said. Pathaan, which released on January 25, has made Rs 542 crore gross worldwide in five days. Shah Rukh Khan, who plays the title role, spoke to the media with co-stars Deepika Padukone and John Abraham and director Siddharth Anand.', '', 'Watch ""Team Pathaan On How They Made A Blockbuster. Pasta, Pizza Were Involved"":  https://youtu.be/7hr4ZRU7wz8', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '', '#ShahRukhKhan #PathaanMovie #PathaanFilm #SRKFilm #DeepikaPadukone #Bollywood #BreakingNews #LatestNews #TodayNews #News #IndiaNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
260,"Shah Rukh Khan's ""Alternate Business"" Plan And Other Big Quotes",12.3M subscribers,"2,267 ",40,"['Shah Rukh Khan and his Pathaan co-stars spoke about their blockbuster film in a media interaction. Here are the highlights. ', '', 'Watch ""Team Pathaan On How They Made A Blockbuster. Pasta, Pizza Were Involved"":  https://youtu.be/7hr4ZRU7wz8', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#BreakingNews #LatestNews #TodayNews #News #IndiaNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra"", 'https://www.youtube.com/playlist?list...', 'Music', 'SONG', 'Jhoome Jo Pathaan', 'ARTIST', 'Arijit Singh', '+3 more', 'ALBUM', 'Pathaan', 'LICENSES', 'Get YouTube Premium']","['  Jan 30, 2023']"
261,"Pathaan 2? ""I Will Be Bigger, Better, Grow Hair Longer"": Shah Rukh Khan",12.3M subscribers,"5,518 ",106,"['Shah Rukh Khan said in a media interaction that it would be his ""honour"" to make a sequel to Pathaan. Shah Rukh Khan said in a media interaction that it would be his ""honour"" to make a sequel to Pathaan. Watch here.', '', 'Watch ""Team Pathaan On How They Made A Blockbuster. Pasta, Pizza Were Involved"":  https://youtu.be/7hr4ZRU7wz8', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#BreakingNews #LatestNews #TodayNews #News #IndiaNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
262,"""When I'm Happy, When I'm Sad..."": SRK On ""Permanent Balcony Ticket""",12.3M subscribers,"1,152 ",31,"['Watch ""Team Pathaan On How They Made A Blockbuster. Pasta, Pizza Were Involved"":  https://youtu.be/7hr4ZRU7wz8', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '', '#BreakingNews #LatestNews #TodayNews #News #IndiaNews #newsoftheday ', '', 'Most Popular Playlists :', '', 'Jai Jawan With Sonu Sood | Republic Day Special', 'https://youtube.com/playlist?list=PLY...', '', 'Jai Jawan With Taapsee Pannu', 'https://youtube.com/playlist?list=PLY...', '', ""Congress' Bharat Jodo Yatra""]","['  Jan 30, 2023']"
